Frame;dates;url;Direction;Observation;id;Wrapped.Interferogram
034A_07541_000305;20210110_20210116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20210110_20210116;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20210110_20210116/20210110_20210116.geo.diff_pha.tif
034A_07541_000305;20201229_20210116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20201229_20210116;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20201229_20210116/20201229_20210116.geo.diff_pha.tif
034A_07541_000305;20210104_20210116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20210104_20210116;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20210104_20210116/20210104_20210116.geo.diff_pha.tif
034A_07467_001015;20210110_20210116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07467_001015/interferograms/20210110_20210116;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07467_001015/interferograms/20210110_20210116/20210110_20210116.geo.diff_pha.tif
034A_07467_001015;20201229_20210116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07467_001015/interferograms/20201229_20210116;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07467_001015/interferograms/20201229_20210116/20201229_20210116.geo.diff_pha.tif
034A_07467_001015;20210104_20210116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07467_001015/interferograms/20210104_20210116;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07467_001015/interferograms/20210104_20210116/20210104_20210116.geo.diff_pha.tif
136A_07522_091613;20201230_20210117;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07522_091613/interferograms/20201230_20210117;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07522_091613/interferograms/20201230_20210117/20201230_20210117.geo.diff_pha.tif
136A_07522_091613;20210111_20210117;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07522_091613/interferograms/20210111_20210117;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07522_091613/interferograms/20210111_20210117/20210111_20210117.geo.diff_pha.tif
136A_07522_091613;20210105_20210117;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07522_091613/interferograms/20210105_20210117;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07522_091613/interferograms/20210105_20210117/20210105_20210117.geo.diff_pha.tif
136A_07496_151719;20201230_20210117;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07496_151719/interferograms/20201230_20210117;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/136/136A_07496_151719/interferograms/20201230_20210117/20201230_20210117.geo.diff_pha.tif
